"","X1","X2","X3","X4","X5","X6"
"1",53,197,84,144,59,60
"2",62,6,129,69,74,177
"3",58,47,126,40,51,171
"4",179,148,146,18,179,63
"5",61,74,27,23,102,148
"6",26,107,145,140,187,90
"7",56,138,64,128,159,123
"8",67,67,1,195,98,6
"9",141,94,67,147,83,192
"10",169,72,103,61,166,164
"11",177,61,198,52,74,46
"12",171,108,125,124,110,80
"13",61,18,200,181,168,28
"14",7,108,82,21,37,124
"15",40,78,197,76,110,36
"16",57,54,118,154,55,101
"17",129,88,43,184,34,84
"18",124,176,64,95,3,26
"19",9,53,3,159,91,191
"20",16,131,126,34,15,159
"21",34,131,155,30,168,184
"22",181,47,165,195,97,32
"23",191,163,168,194,56,57
"24",65,192,84,15,79,150
"25",197,128,116,51,72,45
"26",199,111,170,34,110,32
"27",157,55,124,34,157,198
"28",155,78,52,10,3,12
"29",79,139,151,196,76,100
"30",4,180,62,10,155,49
